"CLIENTI Id","First Name","Last Name",Email,Twitter,Facebook,"Nome Catena","Nome Catena Id",Phone,Mobile,Type,"Proprietario CLIENTI","Proprietario CLIENTI Id",Title,"Created By","Created By Id","Modified By","Modified By Id","Created Time","Modified Time",Salutation,Street,City,State,Zip,Country,Description,"Secondary Email","Numero Bilance","IP / TW PC BACKOFFICE / MASTER","Ragione Sociale","Codice PDV","Partita IVA",Note,"Prodotti Posseduti","ELENCO IP / TW BILANCE","Matricole Bilance",Insolvente,"E-mail PEC",Indirizzo,"DIBAL TRANSFER","Data/ora 1","Orario Negozio","PUBBLICITA' SU DROPBOX","CONTRATTO DI ASSISTENZA"
85271000000138537,,"EMME4 MAFFUCCI",c.capuano@masstp.it,,,EMME4,85271000000138569,0239325410,"Claudio 3775285100",,DB,85271000000092001,"CARREFOUR MARKET",DB,85271000000092001,DB,85271000000092001,"2021-12-21 11:30:11","2022-10-06 14:59:47",,,,,,,,,6,"10.189.84.1 / 455242658","EMME4 SPA",2994,03154140127,,"DIBAL - BILANCIA CS1200;PC BACK OFFICE","192.168.11.151 GASTRO 1
192.168.11.152 GASTRO 2
192.168.11.153 PANE SELF
192.168.11.154 ORTO 1
192.168.11.155 ORTO 2
192.168.11.156 MACE
192.168.1.103 PC BACKOFFICE","29078139
29078692
29078694
29078718
29078719
29078720",false,,"Milano, Via Privata Angiolo Maffucci, 18",false,,"lunedì	07–22
martedì	07–22
mercoledì	07–22
giovedì	07–22
venerdì	07–22
sabato	07–22
domenica	07–22",true,false
85271000000138851,,"EMME4 COCQUIO",EMME4COCQUIO@LIBERO.IT,,,EMME4,85271000000138569,0332971444,"3393295806 / Claudio 377528510",,DB,85271000000092001,"CARREFOUR MARKET",DB,85271000000092001,DB,85271000000092001,"2021-12-21 11:56:14","2022-10-06 15:07:22",,,,,,,,,7,"10.235.234.1 / 512915968","EMME4 SPA",2995,03154140127,,"DIBAL - BILANCIA CS1200;PC BACK OFFICE","192.168.100.151 GASTRO 1
192.168.100.152 GASTRO 2
192.168.100.154 GASTRO 3
192.168.100.156 ORTO 1
192.168.100.157 ORTO 2
192.168.100.155 MACE
192.168.100.153 PANE SELF
192.168.100.73 PC BACKOFFICE","29078678
29078684
29078695
29078689
29078691
29078686
29078690",false,,"Cocquio, via Appennini 32",false,,"lunedì	07–21
martedì	07–21
mercoledì	07–21
giovedì	07–21
venerdì	07–21
sabato	07–21
domenica	07–21",true,false
85271000000138905,,"EMME4 MISINTO",EMME4MISINTO@LIBERO.IT,,,EMME4,85271000000138569,0296321034,"Claudio 3775285100",,DB,85271000000092001,"CARREFOUR EXPRESS",DB,85271000000092001,DB,85271000000092001,"2021-12-21 12:12:40","2022-10-06 15:42:49",,,,,,,,,3,"10.202.106.130 / 505975063","EMME4 SPA",2791,03154140127,,"DIBAL - BILANCIA CS1200;PC BACK OFFICE","192.168.1.151 GASTRO 1
192.168.1.153 PANE SELF
192.168.1.154 ORTO 1
192.168.1.46 PC BACKOFFICE","29078728
29079861
29079700",false,,"Misinto, Via per Rovellasca, 25",false,,"lunedì	08:30–12:30, 15–19:30
martedì	08:30–12:30, 15–19:30
mercoledì	08:30–12:30, 15–19:30
giovedì	08:30–12:30, 15–19:30
venerdì	08:30–12:30, 15–19:30
sabato	08:30–13, 15–19:30
domenica	09–12:30",true,false
85271000000138939,,"EMME4 OLEGGIO",OLEGGIO@LIBERO.IT,,,EMME4,85271000000138569,0321998106,"Claudio 3775285100",,DB,85271000000092001,"CARREFOUR MARKET",DB,85271000000092001,DB,85271000000092001,"2021-12-21 12:13:42","2022-10-06 15:27:54",,,,,,,,,5,"10.90.189.1 / 505274771","EMME4 SPA",3806,03154140127,,"DIBAL - BILANCIA CS1200;PC BACK OFFICE","192.168.1.151 GASTRO 1
192.168.1.152 GASTRO 2
192.168.1.156 ORTO 1
192.168.1.153 PANE SELF
192.168.1.50 PC BACKOFFICE","29079863
29078726
29078729
29079688
29078725",false,,"Oleggio, Via Sempione, 31",false,,"lunedì	07–22
martedì	07–22
mercoledì	07–22
giovedì	07–22
venerdì	07–22
sabato	07–22
domenica	07–22",true,false
85271000000138973,,"EMME4 UNGHERIA",EMME4UNGHERIA@LIBERO.IT,,,EMME4,85271000000138569,025060236,"Claudio 3775285100",,DB,85271000000092001,"CARREFOUR MARKET",DB,85271000000092001,DB,85271000000092001,"2021-12-21 12:14:46","2022-10-06 15:31:40",,,,,,,,,5,"10.91.90.1 / 502087322","EMME4 SPA",3984,03154140127,,"DIBAL - BILANCIA CS1200;PC BACK OFFICE","192.168.1.152 GASTRO 1
192.168.1.151 GASTRO 2
192.168.1.154 ORTO 1
192.168.1.34   ORTO 2
192.168.1.153 MACE
192.168.1.32   PC BACKOFFICE","29078722
29078736
29078706
29078727
29079698",false,,"Milano, Viale Ungheria, 12",false,,"lunedì	08–21
martedì	08–21
mercoledì	08–21
giovedì	08–21
venerdì	08–21
sabato	08–21
domenica	08:30–21",true,false
85271000000144031,,"BORELLO BALDISSERO",baldissero@borellosrl.com,,,BORELLO,85271000000144019,0119407819,3296936730,,DB,85271000000092001,PAM,Mancuso,85271000000138629,DB,85271000000092001,"2021-12-21 12:03:44","2022-10-06 15:55:47",,,,,,,,,3,172.27.55.x,"BORELLO SRL",031,04890700018,,"DIBAL - BILANCIA CS1200","172.27.55.70 GASTRO MASTER
172.27.55.71 GASTRO SLAVE 
172.27.55.80 ORTO MASTER","29071309
29075519
29076392",false,,"Baldissero, Via Roma, 27",true,,"lunedì	08–13, 15:30–20
martedì	08–13, 15:30–20
mercoledì	08–13, 15:30–20
giovedì	08–13, 15:30–20
venerdì	08–13, 15:30–20
sabato	08–20
domenica	09–13",false,true
85271000000146949,Alessio,Puccio,alessio.puccio@dbcompanysrl.it,,,"DB COMPANY",85271000000146903,,3402250099,,DB,85271000000092001,"Responsabile SW",DB,85271000000092001,DB,85271000000092001,"2021-12-22 08:13:28","2021-12-22 08:16:24",,,,,,,,,,,,,,,,,,false,,,false,,,false,false
85271000000146983,Francesco,Mancuso,francesco.mancuso@dbcompanysrl.it,,,"DB COMPANY",85271000000146903,,3429550555,,Mancuso,85271000000138629,"Tecnico SW",DB,85271000000092001,DB,85271000000092001,"2021-12-22 08:14:27","2021-12-22 08:16:09",,,,,,,,,,,,,,,,,,false,,,false,,,false,false
85271000000149003,,"EMME4 RISORGIMENTO",EMME4RISORGIMENTO@LIBERO.IT,,,EMME4,85271000000138569,0321621654,"Claudio 3775285100",,DB,85271000000092001,"CARREFOUR MARKET",DB,85271000000092001,DB,85271000000092001,"2021-12-21 12:15:30","2022-10-06 15:54:30",,,,,,,,,7,535465509,"EMME4 SPA",2896,03154140127,,"DIBAL - BILANCIA CS1200;PC BACK OFFICE","192.168.1.151 GASTRO 1
192.168.1.152 GASTRO 2
192.168.1.153 GASTRO 3
192.168.1.154 ORTO 1
192.168.1.155 ORTO 2
192.168.1.157 PESCE 1
192.168.1.156 MACE
192.168.1.150 PC BACKOFFICE","29079682
29079683
29079684
29079686
29079695
29079862
29079866",false,,"Novara, Corso Risorgimento, 26 A",false,,"lunedì	07–21
martedì	07–21
mercoledì	07–21
giovedì	07–21
venerdì	07–21
sabato	07–21
domenica	07–21",true,false
85271000000149037,,"EMME4 PARABIAGO SEMPIONE",EMME4SEMPIONE@LIBERO.IT,,,EMME4,85271000000138569,0331497995,"Claudio 3775285100",,DB,85271000000092001,"CARREFOUR MARKET",DB,85271000000092001,DB,85271000000092001,"2021-12-21 12:16:39","2022-10-06 15:51:05",,,,,,,,,7,"10.189.84.1 / 530349808","EMME4 SPA",2294,03154140127,,"DIBAL - BILANCIA CS1200;PC BACK OFFICE","192.168.12.151 GASTRO 1
192.168.12.162 GASTRO 2
192.168.12.153 PANE SELF
192.168.12.157 PESCE 1
192.168.12.174 ORTO 1
192.168.12.73   ORTO 2
192.168.12.155 MACE
192.168.0.114 PC BACKOFFICE","29079864
29079860
29079696
29079679
29079867
29079869
29078877",false,,"Parabiago, Via Sempione, 80",false,,"lunedì	07–21
martedì	07–21
mercoledì	07–21
giovedì	07–21
venerdì	07–21
sabato	07–21
domenica	07–21",true,false
