NEGOZIO;TICKET;DATA;REPARTO;FORMATO;PLU;DESCRIZIONE;IVA;PESO;IMPORTO;PREZZO AL KG
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);174;02/10/2024 08:22;2;T;126;FOND ARISTA  AL FORNO;0.000;0.314;3.140;10.000
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);175;02/10/2024 08:22;2;T;126;FOND ARISTA  AL FORNO;0.000;0.314;3.140;10.000
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);176;02/10/2024 08:23;2;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.314;4.360;13.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);177;02/10/2024 08:38;2;T;504;PROSC.COTTO A.QUALITA' RICCAFETTA RASPINI CINQUE STELLE;0.000;0.098;1.750;17.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);177;02/10/2024 08:38;2;T;531;MANZO AFFUMICATO;0.000;0.106;2.000;18.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);182;02/10/2024 09:06;2;T;565;PROSCIUTTO CRUDO SAN DANIELE DOP;0.000;0.098;2.540;25.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);188;02/10/2024 09:18;3;T;516;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.000;0.206;2.860;13.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);189;02/10/2024 09:20;3;T;736;INVOLTINO CON RUSSA;0.000;0.132;1.830;13.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);192;02/10/2024 09:38;2;T;558;LARDO RUSTICO BIANCO;0.000;0.148;2.210;14.900
PRESTOFRESCO s.p.a. Corso Torino, 4 Avigliana (TO);192;02/10/2024 09:38;2;T;525;PORCHETTA ARROSTO;0.000;0.162;2.410;14.900
