100001000100129022200010000001166Farinata            |                    0000000000000000100@000000A
100002000100249022200020000001166Focaccia cotto e moz|zarella             0000000000000000100@000000A
100004000100159022200040000001166Focaccia cipolla    |                    0000000000000000100@000000A
100005000100249022200050000001166Focaccia crudo e str|acchino             0000000000000000100@000000A
100007000100259022200070000001166Focaccine farcite   |                    0000000000000000100@000000A
200008000100199022200080000001166Salatini misti      |                    0000000000000000100@000000A
200009000100189022200090000001166Pizza capricciosa   |                    0000000000000000100@000000A
200010000100149022200100000001166Pizza margherita    |                    0000000000000000100@000000A
200011000100139022200110000001166Pizza rossa         |                    0000000000000000100@000000A
200013000100159022200130000001166Pizza diavola       |                    0000000000000000100@000000A
200015000100199022200150000001166Pizza salsiccia     |                    0000000000000000100@000000A
400059000100005080569774705601166Biscotti misti PZ   |                    0000000000000000100@000000A
400152000100008080569774708431166Croissant vegano lam|pone                0000000000000000100M000000A
400079000100006080569774706211166Croissant vuoto     |                    0000000000000000100M000000A
400078000100009080569774706141166Croissant integrale |vegano              0000000000000000100M000000A
400155000100009080569774708741166Fagottino cioccolati|                    0000000000000000100M000000A
400154000100009080569774708671166Girella uvetta      |                    0000000000000000100M000000A
400158000100008080569774708981166Krapfen Vuoto       |                    0000000000000000100M000000A
300125000100139000000000000001166Grissini misti al kg|                    0000000000000000100@000000A
100048000100099022200480000001166Focaccia            |                    0000000000000000100@000000A
100049000100109022200490000001166Focaccia alla ligure|                    0000000000000000100@000000A
000066000100015080569774705771166Muffin Cioccolato   |                    0000000000000000100M000000A
400067000100029080569774705841166Muffin Ai Frutti Di |Bosco               0000000000000000100M000000A
400157000100069000000000000001166Torta di mele intera|                    0000000000000000100M000000A
400060000100019080569774704091166Tortino di mele     |                    0000000000000000100M000000A
400064000100025080569774704161166Crostatine albicocca|                    0000000000000000100M000000A
400065000100029080569774704231166Crostatine cioccolat|o                   0000000000000000100M000000A
300041000100059022200410000001166Rustico             |                    0000000000000000100@000000A
300032000100107522200320000001166Panfibra            |                    0000000000000000100@000000A
300042000100089022200420000001166Pagnotta semi e cere|ali                 0000000000000000100@000000A
300037000100045022200370000001166Baguette            |                    0000000000000000100@000000A
300033000100049522200330000001166Pane Quadrotto      |                    0000000000000000100@000000A
300043000100059022200430000001166Ciabatta Rustica    |                    0000000000000000100@000000A
300044000100059022200440000001166Il Tradizionale     |                    0000000000000000100@000000A
300045000100049522200450000001166Spiga               |                    0000000000000000100@000000A
300046000100049522200460000001166Bocconcini bianchi  |                    0000000000000000100@000000A
300039000100099022200390000001166Bastoncino alle oliv|e                   0000000000000000100@000000A
300040000100149522200400000001166Bastoncino alle noci|                    0000000000000000100@000000A
300052000100155500000000000001166Filoncino al formagg|io                  0000000000000000100@000000A
300035000100099022200350000001166Pane alla curcuma   |                    0000000000000000100@000000A
400061000100029080569774705531166Tortino ricotta e sp|inaci               0000000000000000100M000000A
300036000100065022200360000001166Pane integrale      |                    0000000000000000100@000000A
100053000100159022200530000001166Focaccini bianchi   |                    0000000000000000100@000000A
400063000100009080569774703861166Bacio di dama       |                    0000000000000000100M000000A
300068000100149522200680000001166Brezel              |                    0000000000000000100@000000A
300069000100149522200690000001166Pane al farro       |                    0000000000000000100@000000A
300071000100069522200710000001166Bocconcino integrale|                    0000000000000000100@000000A
300072000100069522200720000001166Bocconcino grano dur|o                   0000000000000000100@000000A
300073000100069522200730000001166Pagnotta di grano du|ro                  0000000000000000100@000000A
300074000100099522200740000001166Pagnotta di segale  |                    0000000000000000100@000000A
300075000100119022200750000001166Panfocaccia         |                    0000000000000000100@000000A
300076000100085022200760000001166Pane siciliano      |                    0000000000000000100@000000A
400156000100009080569774708811166Sfoglia Acero Noci P|ecan                0000000000000000100M000000A
200085000100189000000000000001166Pizza Parmigiana    |                    0000000000000000100@000000A
200086000100189000000000000001166Pizza peperoni e moz|zarella             0000000000000000100@000000A
200088000100189000000000000001166Pizza salsiccia e fr|iarielli            0000000000000000100@000000A
200089000100189000000000000001166Pizza Radicchio e fu|nghi                0000000000000000100@000000A
100092000100199000000000000001166Focaccia mortadella |pistacchio          0000000000000000100@000000A
100093000100199000000000000001166Focaccia bresaola gr|ana rucola          0000000000000000100@000000A
200096000100219000000000000001166Pizza bufala acciugh|e pomodori secchi   0000000000000000100@000000A
100099000100159022200990000001166Sfoglia prosciutto e| formaggio          0000000000000000100@000000A
100098000100159022200980000001166Sfoglia ricotta e sp|inaci               0000000000000000100@000000A
990097000100219000000000000001166PIZZA GIUGNO        |                    0000000000000000100@000000A
100102000100119022201020000001166Focaccia barese     |                    0000000000000000100@000000A
990101000100219000000000000001166PIZZA LUGLIO        |                    0000000000000000100@000000A
000103000100069080569774706901166Filone di grano duro|                    0000000000000000100@000000A
990104000100219000000000000001166PIZZA AGOSTO        |                    0000000000000000100@000000A
990105000100219000000000000001166PIZZA SETTEMBRE     |                    0000000000000000100@000000A
100106000100169080569774707061166Focaccia barese con |olive               0000000000000000100@000000A
990107000100219000000000000001166PIZZA OTTOBRE       |                    0000000000000000100@000000A
200108000100219000000000000001166PIZZA porchetta brie| olio tartufato     0000000000000000100@000000A
200109000100189000000000000001166Pizza ai funghi     |                    0000000000000000100@000000A
20011000010029901166Mini Croissant Prosc|iutto Formaggio     0000000000000000100@000000A
990111000100219000000000000001166PIZZA DICEMBRE      |                    0000000000000000100@000000A
40015000010000801166Croissant albiccoca |                    0000000000000000100M000000A
40014900010000801166Croissant cioccolato|                    0000000000000000100M000000A
100112000100139022201120000001166Farinata Gorgonzola |                    0000000000000000100@000000A
200113000100179000000000000001166Lasagna emiliana    |                    0000000000000000100@000000A
200114000100179000000000000001166Lasagna pesto       |                    0000000000000000100@000000A
200115000100219000000000000001166PIZZA GENNAIO       |                    0000000000000000100@000000A
00011700010005951166Pane Filone Troppo B|uono                0000000000000000100@000000A
