0401570003000799203157000001142CASTAGNE            |                    0000000004000000000@000000A50
0660510006001090206005100001142IMPANATE DI POLLO   |                    0000000006000000010@000000A33
0660520006001090206005200001142LONZA SUINO         |                    0000000006000000010@000000A31
0660580006000690206005800001142COSTINE SUINO       |                    0000000006000000010@000000A31
0660910006000690206009100001142COSCE POLLO         |                    0000000006000000010@000000A32
0662560006001090206025600001142ZUCCOTTO DI CROCCHET|                    0000000006000000010@000000A33
0403700004000249204037000001142CLEMENTINE FOGLIA   |                    0000000004000100010@000000A50
0666590006001390206065900001142SPEZZATINO BOSCAIOLA|                    0000000006000000010@000000A33
0404200004000179204042000001142BANANE DOLE         |                    0000000004000100010@000000A50
0220930001000620210061700001142BURRATA DELIZIOSA 0,|                    0000000000000000000H000000A02
0220940001000210210061800001142BURRATA DELIZIOSA 0,|                    0000000000000000000H000000A02
0220970001001799210062100001142CACIOCCHIATO        |                    0000000006000000000@000000A01
0221330001002290210065700001142PRIMOSALE DI CAPRA  |                    0000000000000000000@000000A02
0222200001001320210074400001142MORTADELLA S/PISTACC|                    0000000006000000000@000000A07
0222210001001370210074500001142MORTADELLA  C.PISTAC|                    0000000006000000000@000000A07
0220280001001830210132300001142GORGONZOLA DOP OIOLI|                    0000000006000100010@000000A01
0220350001001790210133000001142SCAMORZA BIANCA     |                    0000000006000100010@000000A01
0220360001001790210133100001142SCAMORZA AFFUMCATA  |                    0000000006000100010@000000A01
0220390001001520210133400001142FONTAL NAZIONALE    |                    0000000006000100010@000000A01
0221780001002290210134000001142SALAME UNGHERESE    |                    0000000006000100010@000000A07
0220430001000740210134200001142LATTERIA NAZIONALE  |                    0000000006000100010@000000A01
0220490001001250210135300001142PRATAIOLA GRANDE    |                    0000000006000100010@000000A01
0220500001001390210135500001142STRAC. NONNO NANNI  |                    0000000000000100010@000000A02
0221890001001790210138200001142PANCETTA AFFUM TRIES|                    0000000006000100010@000000A07
0220670001001590210138400001142CACIOCAVALLO SILANO |                    0000000006000100010@000000A01
0220740001001420210139400001142PRIMO SALE OSELLA   |                    0000000000000100010@000000A02
0220760001002130210139500001142PARMIG REGG DOP     |                    0000000006000100010@000000A01
0220770001001390210139600001142GRANA PAD.DOP 16M   |                    0000000006000100010@000000A01
0222430001001850210142900001142BOCCONCINI CARCIOFI |                    0000000000000100010@000000A03
0224110001001340210143400001142CREPES VALDOSTANA   |                    0000000000000100010@000000A03
0223410001002340210146500001142GIRELLO TONNATO     |                    0000000000000100010@000000A04
0223650001001190210148900001142PROSCIUTTO PARIGINA |                    0000000000000100010@000000A04
0220220001001990210150500001142EMMENTALER SVIZZERO |                    0000000006000100010@000000A01
0220410001002309210154100001142ROBIOLA ALBA TARTUFO|                    0000000000000100010@000000A02
0220130001001290210156000001142MONTASIO DOP        |                    0000000006000100010@000000A01
0220300001001190210156100001142TALEGGIO DOP        |                    0000000006000100010@000000A01
0222040001002090210072800001142SALAME FELINO IGP   |                    0000000006000100010@000000A07
0102040001002090210156400001142SALAME FELINO IGP   |                    0000000004000100010@000000D50
0223140001000470210156500001142GNOCCHI PATATE      |                    0000000000000100010@000000A06
0222170001001840210157600001142FESA TACCHINO       |                    0000000006000100010@000000A07
0220200001001990210158000001142PECOR SARDO MATURO D|                    0000000006000100010@000000A01
0220330001001190210158600001142TESORI GORGONZOLA DO|                    0000000006000100010@000000A01
0221950001001190210159700001142PROSCIUTTO COTTO    |                    0000000006000100010@000000A07
0222190001002390210160600001142CARPACCIO DI BRESAOL|                    0000000006000100010@000000A07
0220270001000590210161300001142RICOTTA VAC AFFIORAM|                    0000000000000100010@000000A02
0222010001003150210161400001142PR.PARMA DOP 18M SO |                    0000000006000100010@000000A07
0404170001000129210162600001142ZUCCA BUTTERNUT     |                    0000000000000100010@000000A50
0223160001001090210187300001142CACIOTTA VACCINA    |                    0000000000000100010@000000A01
0220230001001590210191900001142ASIAGO TESORI       |                    0000000000000100010@000000A01
0221440001001290210192400001142SCAMORZINE AFFUM    |                    0000000000000100010@000000A01
0221480001001590210193500001142TOMETTA ALPINA      |                    0000000006000100010@000000A01
0229200001001790210194500001142LARDO TOSCANO       |                    0000000006000100010@000000A07
0229690001001520210225900001142TUMA GRASA          |                    0000000006000100010@000000A01
0404200004000179204042000001142BANANE DOLE         |                    0000000004000100010@000000A50
