"id_article","description","total_weight","total_amount"
0,"PREZZO DIRETTO",1251.204,13678.07
6001,"FILETTO BOVINO ADULT",137.937,4720.86
6002,"ROAST-BEEF BOVINO AD",36.582,545.07
6003,"SALTIMBOCCA BOVINO A",0.3,5.07
6004,"TOURNEDOS BOVINO ADU",2.510,39.91
6005,"POLPA SCELTA BOV.ADU",139.628,1981.13
6006,"SCAMONE BOVINO ADULT",226.958,4331.43
6007,"SOTTOFILETTO BOV. AD",629.422,11828.26
6008,"COSCIA ROTONDA BOV.A",245.034,5366.33
6009,"SOTTILISSIMA BOV. AD",82.841,1648.56
6010,"COSCIA BOVINO ADULTO",843.694,13942.49
6011,"STRACCETI BOVINO ADU",103.438,1728.95
6012,"COSTATE BOVINO ADULT",41.084,736.85
6014,"ARROSTO BOVINO ADULT",263.382,3901.33
6015,"ARROSTO VENA BOV.AD.",117.415,1749.47
6016,"TAGLIATA",19.000,363.01
6017,"FETTINE BOVINO ADULT",0.056,0.78
6018,"HAMBURGER BOVINO ADU",470.136,6535.31
6019,"BOCCONCINI BOVINO AD",16.568,185.43
6020,"ROLATINE BOVINO ADUL",1.498,19.32
6021,"ROLATE BOVINO ADULTO",24.252,341.71
6022,"TENERONE BOVINO ADUL",265.993,3955.66
6024,"BRUTTO BUONO BOV. AD",356.868,4697.13
6025,"OSSOBUCHI BOVINO ADU",168.752,1893.58
6026,"BOLLITO C/OSSO BOV.A",211.960,2274.32
6027,"SCARAMELLA BOVINO AD",103.709,1026.70
6028,"MUSCOLO SCELTO BOV.",149.408,1865.73
6029,"OSSO PER BOLLITO",10,19.0
6030,"OSSO PER BOLLITO",22,63.8
6031,"GUANCIOLI BOV.AD.",1.304,25.95
6032,"VALDOSTANE BOVINO AD",40.902,650.34
6033,"TRITATA SCELTA BOV.",1353.782,17941.97
6034,"TRITA MISTA BOV.AD./",1528.010,13986.78
6035,"TRITA SUGO BOVINO",4.132,45.06
6036,"GRANELLE BOVINO ADUL",2.421,16.71
6037,"ARROSTO SOTTOFILETTO",4.364,82.62
