"id_article","description","total_weight","total_amount"
0,"PREZZO DIRETTO",1470.456,16000.32
6001,"FILETTO BOVINO ADULT",208.951,7199.26
6002,"ROAST-BEEF BOVINO AD",37.216,554.52
6003,"SALTIMBOCCA BOVINO A",0.3,5.07
6004,"TOURNEDOS BOVINO ADU",2.510,39.91
6005,"POLPA SCELTA BOV.ADU",211.228,3084.35
6006,"SCAMONE BOVINO ADULT",354.547,6869.94
6007,"SOTTOFILETTO BOV. AD",946.738,18140.82
6008,"COSCIA ROTONDA BOV.A",389.888,8538.79
6009,"SOTTILISSIMA BOV. AD",153.105,3046.86
6010,"COSCIA BOVINO ADULTO",1370.807,22885.93
6011,"STRACCETI BOVINO ADU",157.206,2691.38
6012,"COSTATE BOVINO ADULT",57.578,1041.99
6014,"ARROSTO BOVINO ADULT",407.470,6048.27
6015,"ARROSTO VENA BOV.AD.",217.094,3334.36
6016,"TAGLIATA",26.681,512.78
6017,"FETTINE BOVINO ADULT",0.056,0.78
6018,"HAMBURGER BOVINO ADU",480.349,6677.26
6019,"BOCCONCINI BOVINO AD",17.908,202.19
6020,"ROLATINE BOVINO ADUL",1.498,19.32
6021,"ROLATE BOVINO ADULTO",25.912,366.44
6022,"TENERONE BOVINO ADUL",429.548,6441.71
6024,"BRUTTO BUONO BOV. AD",587.169,7806.31
6025,"OSSOBUCHI BOVINO ADU",257.764,2952.90
6026,"BOLLITO C/OSSO BOV.A",385.525,4215.44
6027,"SCARAMELLA BOVINO AD",114.541,1133.94
6028,"MUSCOLO SCELTO BOV.",260.460,3363.23
6029,"OSSO PER BOLLITO",13,24.7
6030,"OSSO PER BOLLITO",30,87.0
6031,"GUANCIOLI BOV.AD.",3.924,85.95
6032,"VALDOSTANE BOVINO AD",55.478,882.08
6033,"TRITATA SCELTA BOV.",2056.987,28128.76
6034,"TRITA MISTA BOV.AD./",2597.160,24145.03
6035,"TRITA SUGO BOVINO",7.570,82.53
6036,"GRANELLE BOVINO ADUL",3.315,22.88
6037,"ARROSTO SOTTOFILETTO",4.364,82.62
6038,"FEGATO BOVINO ADULTO",312.426,3093.32
6039,"CERVELLA BOVINO ADUL",1.166,18.54
6040,"CUORE BOVINO ADULTO",2.480,12.15
6041,"POLMONE BOVINO ADULT",19.718,39.43
6042,"CODA BOVINO ADULTO",52.060,723.66
6043,"TESTINA BOVINO ADULT",31.158,277.32
6044,"MILZA BOVINO ADULTO",5.682,11.36
6045,"RENI BOVINO ADULTO",3.598,16.19
6046,"LINGUA BOVINO ADULTO",6.986,94.32
6047,"ARROSTO DI COSCIA B.",3.760,63.54
6048,"TRIPPA BOVINO ADULTO",244.870,2198.18
6050,"SANGUINACCI",0.474,5.64
6051,"IMPANATE DI POLLO",301.138,4117.20
6052,"LONZA SUINO",339.006,3481.19
6053,"ARROSTO SUINO",1.750,17.32
6054,"FILETTO SUINO",85.628,1161.60
6055,"BRACIOLE SUINO",805.654,6054.65
6056,"CAPOCOLLO SUINO",70.430,504.80
6057,"SALSICCIA SUINO",2275.522,23280.91
