"id_article","description","total_weight","total_amount"
0,"PREZZO DIRETTO",3357.599,39627.22
1,"BANANE CHIQUITA",1,5.9
6,"CIPOLLA BIANCA NOVEL",1.558,6.22
8,"ARANCE NAVEL EXTRA",2.466,7.37
10,"CIMA DI RAPA",3.082,7.67
120,"ANG.NERA TAG. ITA II",3.014,4.49
607,"TAGLIO PREZZO 1,50 P",1,1.5
2490,"FRITTO MISTO PIEMONT",0.554,12.13
6001,"FILETTO BOVINO ADULT",47.444,1655.81
6005,"POLPA SCELTA BOV.ADU",3.164,49.06
6006,"SCAMONE BOVINO ADULT",52.486,1044.48
6007,"SOTTOFILETTO BOV. AD",208.290,4143.54
6008,"COSCIA ROTONDA BOV.A",179.481,3930.57
6009,"SOTTILISSIMA BOV. AD",6.622,131.78
6010,"COSCIA BOVINO ADULTO",384.206,6874.86
6011,"STRACCETI BOVINO ADU",46.790,837.55
6014,"ARROSTO BOVINO ADULT",2.436,36.30
6015,"ARROSTO VENA BOV.AD.",10.904,173.37
6018,"HAMBURGER BOVINO ADU",175.736,2442.79
6022,"TENERONE BOVINO ADUL",159.302,2421.34
6024,"BRUTTO BUONO BOV. AD",266.467,3597.46
6025,"OSSOBUCHI BOVINO ADU",164.798,1961.07
6026,"BOLLITO C/OSSO BOV.A",25.322,283.60
6027,"SCARAMELLA BOVINO AD",0.426,4.22
6028,"MUSCOLO SCELTO BOV.",59.152,797.82
6033,"TRITATA SCELTA BOV.",582.732,8443.50
6034,"TRITA MISTA BOV.AD./",708.682,6733.08
6035,"TRITA SUGO BOVINO",1.094,11.93
6036,"GRANELLE BOVINO ADUL",0.352,2.43
6038,"FEGATO BOVINO ADULTO",91.822,909.13
6042,"CODA BOVINO ADULTO",13.716,190.65
6043,"TESTINA BOVINO ADULT",5.912,52.63
6046,"LINGUA BOVINO ADULTO",2.784,37.59
6048,"TRIPPA BOVINO ADULTO",74.502,663.05
6049,"TRIPPA ROTOLO",0.288,4.01
6051,"IMPANATE DI POLLO",43.960,611.15
6052,"LONZA SUINO",219.642,2225.07
6054,"FILETTO SUINO",36.054,501.16
6055,"BRACIOLE SUINO",187.830,1381.08
6056,"CAPOCOLLO SUINO",65.217,515.23
6057,"SALSICCIA SUINO",836.955,8594.32
6058,"COSTINE SUINO",224.730,1805.99
6059,"PANCETTA SUINO",1.424,8.40
6061,"PIEDINI SUINO",3.406,13.28
6063,"LINGUA SUINO",0.378,2.23
6064,"COTECHINI",6.091,66.39
6065,"STINCO SUINO",5.028,29.66
6068,"TRAMEZZINI",1.890,26.27
6070,"FESA TACCHINO",287.652,2935.21
6072,"COSCIA TACCHINO",1.922,13.26
6078,"FARAONA",12.316,118.73
6081,"GALLINA",3.658,17.93
6082,"POLLO AL CURRY",3.880,53.93
6085,"TACCHINA",0.47,5.88
6086,"CAPPONE",5.592,75.50
6089,"RUSTICHELLE",289.543,3033.25
6090,"PETTO POLLO",688.150,7287.10
6091,"COSCE POLLO",192.338,1260.48
6093,"ALETTE POLLO",121.258,534.71
6094,"FUSELLI POLLO",120.475,796.55
6098,"SALTIMBOCCA SUINO",6.522,84.15
6100,"ROLATINE CONIGLIO",12.692,316.02
6101,"CONIGLIO",92.744,1061.36
6110,"FILETTO DI CONIGLIO",2.766,71.64
6115,"NODINI VITELLO",2.678,69.36
6118,"HAMBURGER TACCHINO",0.004,0.06
6120,"ROLATINE POLLO",52.772,733.54
6131,"TULIPANI",2.892,43.10
6138,"POLPETTONE",6.488,90.19
6139,"POLPETTE PANATE",4.726,65.70
6142,"POLPETTONE PANATO",0.536,7.45
6147,"PIADA SAPORITA",0.258,3.07
6151,"MILANESI BOVINO ADUL",72.722,1374.44
6157,"SALSICCIA TACCH/SUIN",36.248,358.79
6163,"CROISSANT SALATI",1.198,17.85
6185,"TASCA RIPIENA BOVINO",2.468,34.31
6193,"ALI AL BARBECUE",4.812,38.02
6200,"CASTELLANE",6.106,76.37
6208,"SPIEDINI DI POLLO",36.700,457.27
6215,"TORTILLAS",2.200,28.39
6218,"HAMBURGER MISTI",31.398,417.80
6220,"ROLATINE TACCHINO",0.372,4.43
6232,"POLP.PROSC.FORMAG.PA",1.544,21.46
6235,"POLPETTINE",1.002,13.93
6242,"SALSICCIA CON FINOCC",0.522,5.48
6246,"ARROSTO FIOCCO BA",3.920,62.33
6251,"IMPANATE DI TACCHINO",36.968,503.39
6253,"PETTO POLLO LANGHE",83.390,1159.16
6255,"FILETTO AL PEPE",0.002,0.02
6256,"ZUCCOTTO DI CROCCHET",0.426,5.5
6257,"SALSICCIA CONIGLIO",14.284,255.64
6262,"VERZINI",1.895,19.90
6273,"ROLATA TACCHINO FRIT",0.868,10.33
6274,"ROLATA TACCHINO",1.672,19.89
6276,"COSCE POLLO LANGHE",43.418,343.01
6279,"ALI POLLO LANGHE",9.244,48.06
6308,"STRACCETI POLLO LIMO",0.002,0.03
6318,"HAMBURGER CON SPINAC",28.574,393.24
6357,"SALSICCIA DI BRA",83.406,1576.45
6368,"BOC.TACCH.RADICC.",1.758,26.20
6420,"HAMBURGER DI CONIGLI",1.528,33.44
6430,"BOMBETTE PUGLIESI",0.002,0.04
6468,"SALSICCIA AL PREZZEM",1.141,11.98
6470,"ROLATINE B.A. VALLCA",1.704,27.10
6474,"RUSTICHELLE PISTACCH",0.002,0.03
6497,"PANCETTA S QUADRATA",1.554,13.83
6498,"BOLLITO BOV.AD. S/O",5.924,76.29
6511,"BOCC.POLLO PIZZAIOLA",2.696,37.48
6513,"SALAME ROSA BORELLO",2.546,71.02
6526,"FILETTO DI SPALLA BO",0.71,12.21
6528,"FOGLIA BOV.AD.",0.504,7.81
6530,"BOMBETTE PUGLIESI SU",0.670,13.33
6534,"ARR. VENA CASTRATO B",2.172,47.57
6656,"CAPOCOLLO S/OSSO",23.711,258.47
6657,"SALSICCIA DI POLLO",8.520,71.00
6675,"ROLATINA BOVINO",0.68,10.13
6677,"AGNELLO SARDO IGP",9.826,143.26
6714,"ARROSTICINI AGNELLO",0.54,13.99
6724,"ARROSTO VENA CASTR",1.752,33.11
6811,"SVIZZERE BOVINO",136.742,1900.73
6813,"SVIZZERE POLLO",6.570,84.78
6902,"BOLLITO C/OSSO SCOTT",1.548,16.88
6904,"ARROSTO SCOTTONA PIE",0.750,12.67
9010,"PESCE SPADA FRESCO",1.836,71.42
9048,"POLPETTO DEC",0.418,9.99
9218,"MAZZANCOLLA COTTA 30",0.748,14.89
