"id_article","description","total_weight","total_amount"
1,"BANANE CHIQUITA",8.365,49.36
1,"BANANE MATURE",3.920,3.88
2,"ANGURIA",6.570,6.51
3,"BARBABIETOLA FORNO",8.090,47.74
4,"ANANAS",28.310,45.74
5,"AGLIO SECCO BIANCO",4.980,24.85
6,"CIPOLLA BIANCA NOVEL",7.680,30.65
7,"AR. TAROCCO  EXTRA",248.320,740.03
7,"ARANCE TAROCCO",35.870,89.80
8,"ARANCE NAVEL",7.905,15.73
8,"ARANCE NAVEL EXTRA",6.185,18.50
9,"ASPARAGI VERDI EXTRA",3.760,15.01
10,"CIMA DI RAPA",0.41,0.97
11,"LIMONI FOGLIA SFUSI",102.000,295.40
12,"CILIEGIE",14.145,140.05
13,"FAVE FRESCHE",0.47,1.41
14,"BROCCOLETTI",1.805,7.21
15,"CIMONI CAV. ROMANESC",61.720,153.13
16,"BANANITO",3.915,50.51
17,"KIWI ZESPRI",9.835,49.10
18,"CACHI VANIGLIA",1.565,9.24
19,"CARDI",4.535,27.16
20,"CAROTE",57.310,96.64
21,"CAVOLO NERO",4.615,13.80
22,"CICORIA CATALOGNA",9.775,16.33
23,"CATALOGNA SPIGATA",3.270,9.93
24,"CETRIOLI",8.770,16.59
25,"ARANCE MORO",1.410,8.32
27,"CIPOLLA BIANCA",2.195,5.25
30,"CIPOLLOTTI",6.045,22.90
31,"BIETA DA COSTA",158.825,269.14
32,"DATTERI",7.395,43.64
33,"POMODORO DATTERINO",78.185,514.14
34,"POMODORO INSALATARO",10.070,40.19
35,"POMODORO CILIEGINO",6.240,25.86
36,"POMOD. TONDO ROSSO L",2.920,4.65
37,"ERBETTE COSTINE",6.570,22.51
40,"INS. RADICCHIO ROSSO",12.695,40.77
41,"FRAGOLE EXTRA",22.165,209.92
42,"PERE D`ANJOU",13.640,80.47
44,"POMODORO COSTOLUTO",0.905,4.06
46,"MELE GOL.DELICIUS ML",2.255,13.31
47,"INS.RADICCHIO VARIEG",0.33,1.32
52,"MELE RENETTE LA",1.37,4.1
55,"MELE RENETTE",136.860,396.27
58,"MELANZ. OBLUNGA EXTR",39.215,117.27
63,"PERE DECANA",189.915,757.68
65,"PERE WILLIAM BIANCO",20.750,82.79
66,"PESCHE GIALLE",0.51,1.93
70,"CACHI LOTI",11.000,64.91
71,"KIWI HAYWARD",173.855,637.74
73,"INS. LATTUGA (TROCAD",1.250,4.99
74,"MELE  ROYAL GALA",0.57,0.56
76,"LIMONI SFUSI",7.340,25.66
77,"MENTA",3.630,21.42
78,"CIPOLLINE BORRETANE",0.41,2.42
79,"FINOCCHI",400.520,930.15
84,"POMPELMI ROSSI",7.325,14.56
87,"PATATE",276.200,549.56
88,"PERE MARTIN",1.195,7.16
89,"PATATE ROSSE",0.395,2.33
90,"PESCHE TABACCHIERA B",3.25,12.97
99,"PEPER. ROSSI/GIALLI",17.085,68.21
99,"PEPERONI CARMAGNOLA",0.215,1.07
102,"CIPOL. ROSSI IGP TRO",0.575,4.31
104,"PORRI",70.020,209.31
111,"INS. GENTILINA",2.375,7.53
112,"RAPE",0.985,2.45
113,"LITCHIS",1.325,7.94
115,"FICHI SFUSI",0.775,6.97
117,"PEPER.  SICILIA GIA/",113.790,569.18
119,"SEDANO VERDE",110.625,199.44
120,"ANG.NERA TAG. ITA II",1.085,1.62
123,"VERZA BIANCA",98.800,117.39
124,"ZUCCHINI TONDI",1.02,5.09
125,"ZUCCHINI VERDI",367.040,983.66
127,"SEDANO RAPA",0.675,1.55
129,"PERE CONFERENCE",0.81,3.23
139,"FICHI FRESCHI SFUSI",2.400,21.57
145,"PEPERONI ROSSI/GIALL",29.705,89.71
148,"CACHI MELA",36.190,142.98
149,"MELE  GOL.DELICIUS M",2.790,6.94
150,"INS. WITLOOF",1.11,2.86
152,"MELE FUJI",330.800,780.00
