"id_article","description","total_weight","total_amount"
0,"PREZZO DIRETTO",3120.155,30620.07
2003,"PECORINO BRIGANTE",13.012,265.47
2005,"RASCHERA DOP",14.264,255.35
2008,"CACIU  DI CAPRA",0.372,9.11
2010,"PECORINO GIGLIO SARD",5.064,123.58
2018,"TOMA PIEMONTESE DOP",0.434,6.03
2022,"EMMENTALER SVIZZERO",13.258,278.42
2023,"ASIAGO TESORI",4.046,62.66
2025,"FONTAL FONTEGIDIA",38.182,729.28
2026,"CASTELMAGNO DOP",1.924,60.81
2027,"RICOTTA VAC AFFIORAM",0.866,5.12
2028,"GORGONZOLA DOP OIOLI",17.73,311.1
2029,"RICOTTA DI PECORA",11.0,103.05
2030,"TALEGGIO DOP",11.144,170.31
2032,"GIUNCATA",3.242,60.94
2033,"TESORI GORGONZOLA DO",5.598,82.41
2034,"TOMA DI LANZO",34.548,549.3
2038,"CROSTE DI FORMAGGIO",1.37,3.44
2040,"ROBIOLA ALBA NATURAL",10.422,164.25
2044,"BRIE REVEREND",6.432,108.72
2046,"ROBIOLA OSELLA",3.004,50.59
2050,"STRAC. NONNO NANNI",38.873,671.68
2058,"PRIMO SALE",0.378,4.5
2059,"TOMINO FRESCO ROTOLO",17.876,222.86
2060,"TOMINO DEL BOSCAIOLO",17.362,298.91
2062,"PRIMOSALE RUCOLA",0.198,3.15
2064,"MAASDAMMER OLANDESE",8.596,96.56
2066,"PECOR.TOSCANO DOP ST",0.236,4.7
2068,"GORGO MASCARPONE",0.35,4.72
2070,"PECORINO TOSCANO DOP",0.854,16.14
2073,"STRACCHINO TOMASONI",1.004,12.44
2074,"PRIMO SALE OSELLA",5.884,63.54
2076,"PARMIG REGG DOP",88.056,1441.49
2077,"GRANA PAD.DOP 16M",43.192,647.53
2078,"LEERDAMMER",0.212,2.1
2080,"FONTINA AOSTA DOP",1.734,36.93
2083,"RICOTTA VACCINA ABIT",13.788,122.67
2085,"AURICCHIO PICC DOP",1.01,15.05
2086,"CACIOTTA DI CAPRA",3.534,96.82
2093,"BURRATA DELIZIOSA 0,",1,6.2
2094,"BURRATA DELIZIOSA 0,",88,176.93
2096,"CACIOCAVALLO STAG GR",3.334,85.32
2097,"CACIOCCHIATO",5.436,114.08
2098,"CAMEMBERT DI BUFALA",2.062,50.53
2099,"CAMEMBERT DI CAPRA",2.088,55.11
2110,"GIUNCATA",0.5,7.35
2115,"INFORNATA AL LIMONE",0.74,10.0
2122,"BURRATA PUGL. FOGLIA",0.716,10.6
2126,"NOSTRALE FRESCO",14.995,235.92
2134,"PROVOLA SILANA",10.472,140.52
2135,"PROVOLA SILANA AFFUM",1.93,26.26
2137,"RICOTTA DELIZIOSA",28.56,278.53
2139,"ROBIOLA DI CAPRA",6.648,129.48
2141,"ROBIOLA ROCCAVERANO",3.742,86.62
2143,"SCAMORZINE BIANCHE",0.144,2.72
2148,"TOMETTA ALPINA",1.44,21.88
2149,"TOMA AL PEPERONCINO",0.31,5.86
2151,"TOMA CAPRA STAGIONAT",0.388,9.78
2153,"TOMA CAPRA",5.424,135.04
2154,"TOMA GRAN TAGLIERE P",1.688,25.8
2156,"RICOTTA SEIRASS",12.282,180.55
2158,"TOMINO FRESCO",0.494,7.26
2161,"STRAVECCHIO BORELLO",14.34,231.16
2165,"TOMA DEL FRà",0.288,7.46
2174,"LARDO DOPPIO SALATO",5.616,103.32
2175,"COPPA DI PARMA IGP P",0.794,18.98
2176,"PANCETTA GRANCOPPATA",7.696,162.2
2177,"PR.COTTO AQ RICCAFET",328.093,6529.47
2179,"LINGUA IN STAMPO",3.476,76.12
2180,"GIRELLO COTTO RUTUND",11.57,341.36
2182,"FESA MANZO AFFUMICAT",10.274,272.3
2183,"SPIANATA CALABRESE P",11.18,230.01
2184,"GUANCIALE DI PARMA",3.628,64.91
2185,"SPECK MONTE PRESS 1/",34.59,679.46
2187,"BRES DELLA VALTELL I",55.898,1957.79
2188,"PANCETTA STUF. BACON",10.776,182.63
2190,"PANCETTA ARROTOLATA",2.626,44.42
2194,"GRANBISCOTTO CLASSIC",20.164,506.44
2195,"PROSCIUTTO COTTO",81.806,956.16
2200,"PR.PARM DOP STAG PRE",66.878,1999.77
2201,"PR.PARMA DOP 18M SO",17.708,506.21
2202,"PR.S.DANIEL DOP SO A",54.046,1685.06
2203,"CRUDO SGAMBATO",2.346,47.85
2205,"SALAME NOSTRANO",2.434,48.44
2206,"SALAME MILANO",18.098,364.26
2208,"P. COTTO GRAN TENERO",141.67,2294.93
2209,"SALAME GOLFETTA",10.582,276.19
2212,"ROAST BEEF",7.492,247.25
2215,"CIMA ALLA GENOVESE",0.914,15.44
2217,"FESA TACCHINO",63.528,1112.05
2219,"CARPACCIO DI BRESAOL",23.862,759.11
2220,"MORTADELLA S/PISTACC",51.256,625.68
2221,"MORTADELLA  C.PISTAC",0.266,2.63
