"id_article","description","total_weight","total_amount"
1,"BANANE CHIQUITA",9.190,54.23
1,"BANANE MATURE",9.930,9.82
2,"ANGURIA",29.925,29.64
3,"BARBABIETOLA FORNO",12.605,74.37
4,"ANANAS",111.740,214.41
5,"AGLIO SECCO BIANCO",12.395,61.84
6,"CIPOLLA BIANCA NOVEL",23.055,92.00
7,"AR. TAROCCO  EXTRA",219.350,655.00
7,"ARANCE TAROCCO",34.105,84.91
8,"ARANCE NAVEL",22.380,44.54
8,"ARANCE NAVEL EXTRA",16.690,49.90
9,"ASPARAGI VERDI EXTRA",5.675,28.27
10,"CIMA DI RAPA",3.305,8.10
11,"LIMONI FOGLIA SFUSI",44.645,122.68
12,"CILIEGIE",37.960,375.84
13,"FAVE FRESCHE",1.285,3.84
14,"BROCCOLETTI",2.250,8.98
15,"CIMONI CAV. ROMANESC",132.900,324.08
16,"BANANITO",22.025,284.13
17,"KIWI ZESPRI",17.465,104.63
18,"CACHI VANIGLIA",12.540,74.00
19,"CARDI",9.600,57.51
20,"CAROTE",233.325,401.41
21,"CAVOLO NERO",35.240,103.66
22,"CICORIA CATALOGNA",36.160,75.85
23,"CATALOGNA SPIGATA",20.090,60.99
24,"CETRIOLI",185.655,466.52
25,"ARANCE MORO",4.825,28.46
27,"CIPOLLA BIANCA",3.115,7.44
28,"CIPOLLA DORATA",182.920,360.21
29,"CIPOLLA ROSSA",1.135,6.70
30,"CIPOLLOTTI",9.200,34.88
31,"BIETA DA COSTA",209.615,356.46
32,"DATTERI",8.800,51.93
33,"POMODORO DATTERINO",102.585,667.66
34,"POMODORO INSALATARO",19.850,79.19
35,"POMODORO CILIEGINO",2.255,11.81
36,"POMOD. TONDO ROSSO L",1.685,2.67
37,"ERBETTE COSTINE",17.910,52.15
39,"TACCOLE",0.27,1.59
40,"INS. RADICCHIO ROSSO",70.505,236.78
41,"FRAGOLE EXTRA",16.530,116.04
42,"PERE D`ANJOU",43.575,257.11
44,"POMODORO COSTOLUTO",13.500,60.61
45,"MELE CRIPS PINK",122.060,407.18
46,"MELE GOL.DELICIUS ML",3.31,19.53
48,"ANGURIA MINI",0.255,0.25
49,"INSALATA SCAROLA",2.215,6.62
51,"MELE GOLDEN MELINDA",159.055,396.05
52,"MELE RENETTE LA",72.680,217.30
54,"MELONI RETATI",5.325,13.25
55,"MELE RENETTE",100.380,288.57
57,"MELE GRANNY",34.430,74.03
59,"MELONI VERDI",0.605,1.2
60,"COCCO",10.365,61.17
63,"PERE DECANA",124.440,496.49
64,"POMELO",0.900,2.24
65,"PERE WILLIAM BIANCO",114.145,443.46
66,"PESCHE GIALLE",0.835,3.16
68,"PESCHE NETTARINE",0.245,0.98
70,"CACHI LOTI",2.87,16.93
71,"KIWI HAYWARD",161.195,595.80
72,"MELE ANNURCA",0.235,0.94
73,"INS. LATTUGA (TROCAD",1.320,4.60
75,"LIME",0.15,0.89
76,"LIMONI SFUSI",110.760,386.56
77,"MENTA",5.485,32.36
78,"CIPOLLINE BORRETANE",0.360,2.12
79,"FINOCCHI",711.120,1595.70
81,"MELANZANE STRIATE",0.535,2.13
82,"NESPOLE",0.64,2.11
84,"POMPELMI ROSSI",89.045,176.10
86,"INS. PAN DI ZUCCHERO",1.735,3.45
87,"PATATE",301.125,599.11
89,"PATATE ROSSE",1.200,7.07
90,"PESCHE TABACCHIERA B",1.575,6.28
94,"UVA FRAGOLA",1.345,13.45
97,"UVA BIANCA  ITALIA",1.16,4.62
99,"PEPER. ROSSI/GIALLI",12.545,50.05
99,"PEPERONI CARMAGNOLA",1.13,5.64
