"id_article","description","total_weight","total_amount"
0,"PREZZO DIRETTO",4136.118,53856.69
3,"BARBABIETOLA FORNO",0.21,1.24
20,"CAROTE",0.206,0.33
177,"MANGO",0.464,0.98
217,"PLATANO",0.222,0.74
329,"SUSINE GOCCIA D`ORO",0.236,0.47
2003,"PECORINO BRIGANTE",3.658,74.63
2004,"PECORINO PEPATO FRES",6.998,118.27
2008,"CACIU  DI CAPRA",0.144,3.53
2009,"SQUACQUERONE",0.780,15.52
2010,"PECORINO GIGLIO SARD",1.230,30.00
2013,"MONTASIO DOP",3.510,56.91
2016,"TES GORGON CUCC. DOP",0.590,12.62
2017,"EMMENTAL FRANCESE",1.962,23.86
2018,"TOMA PIEMONTESE DOP",6.062,95.41
2020,"PECOR SARDO MATURO D",0.23,5.87
2022,"EMMENTALER SVIZZERO",0.106,2.23
2023,"ASIAGO TESORI",5.636,76.88
2027,"RICOTTA VAC AFFIORAM",6.482,38.99
2028,"GORGONZOLA DOP OIOLI",25.559,405.38
2029,"RICOTTA DI PECORA",7.592,61.86
2030,"TALEGGIO DOP",3.000,46.10
2032,"GIUNCATA",0.206,3.87
2033,"TESORI GORGONZOLA DO",19.304,294.90
2034,"TOMA DI LANZO",29.025,461.54
2035,"SCAMORZA BIANCA",0.248,3.29
2036,"SCAMORZA AFFUMCATA",1.262,16.36
2038,"CROSTE DI FORMAGGIO",6.792,17.04
2039,"FONTAL NAZIONALE",25.532,406.00
2040,"ROBIOLA ALBA NATURAL",16.316,256.28
2041,"ROBIOLA ALBA TARTUFO",1.052,20.17
2042,"ASIAGO PRESSATO DOP",11.988,143.13
2043,"LATTERIA NAZIONALE",8.292,75.63
2044,"BRIE REVEREND",7.681,129.82
2046,"ROBIOLA OSELLA",3.136,54.55
2049,"PRATAIOLA GRANDE",0.470,10.34
2050,"STRAC. NONNO NANNI",27.311,482.79
2053,"FETA GRECA DOP",4.966,104.27
2058,"PRIMO SALE",0.722,8.59
2060,"TOMINO DEL BOSCAIOLO",19.331,323.58
2061,"PIAVE MEZZANI DOP",6.008,89.54
2064,"MAASDAMMER OLANDESE",14.110,157.51
2065,"FORMAGGIO CAPRITILLA",9.806,242.96
2066,"PECOR.TOSCANO DOP ST",0.394,9.12
2068,"GORGO MASCARPONE",0.766,11.19
2070,"PECORINO TOSCANO DOP",2.254,47.17
2071,"ROBIOLA ALBA PEPER",0.864,16.28
2072,"ROCCHETTA",1.352,30.28
2074,"PRIMO SALE OSELLA",10.082,112.11
2075,"CREMA DI MAGGIO",2.728,50.19
2076,"PARMIG REGG DOP",66.983,1085.65
2077,"GRANA PAD.DOP 16M",34.364,499.55
2078,"LEERDAMMER",1.632,16.15
2079,"ROBIOLA COCCONATO",11.074,196.01
2083,"RICOTTA VACCINA ABIT",37.064,329.88
2085,"AURICCHIO PICC DOP",9.992,190.79
2087,"ROBIOLA BOSINA",1.204,26.37
2090,"RICOTTA S. LUCIA",0.14,1.53
2093,"BURRATA DELIZIOSA 0,",2,12.4
