TICKET;NEGOZIO;DATA;FORMATO;ARTICOLO;PESO;IMPORTO
174;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 08:22;T;FOND ARISTA  AL FORNO;0.314;3.140
175;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 08:22;T;FOND ARISTA  AL FORNO;0.314;3.140
176;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 08:23;T;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.314;4.360
177;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 08:38;T;PROSC.COTTO A.QUALITA' RICCAFETTA RASPINI CINQUE STELLE;0.098;1.750
177;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 08:38;T;MANZO AFFUMICATO;0.106;2.000
182;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 09:06;T;PROSCIUTTO CRUDO SAN DANIELE DOP;0.098;2.540
188;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 09:18;T;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.206;2.860
189;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 09:20;T;INVOLTINO CON RUSSA;0.132;1.830
192;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 09:38;T;LARDO RUSTICO BIANCO;0.148;2.210
192;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 09:38;T;PORCHETTA ARROSTO;0.162;2.410
194;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 09:41;T;"MORTADELLA  SENZA PISTACCHIO FIOR D'EMILIA "" FELSINEO """;0.154;1.520
194;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 09:41;T;SALAME MILANO;0.106;1.470
195;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 09:43;T;"MORTADELLA  SENZA PISTACCHIO FIOR D'EMILIA "" FELSINEO """;0.100;0.990
195;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 09:43;T;MANZO AFFUMICATO;0.108;2.040
199;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 09:48;T;"INSALATA RUSSA CON TONNO ""GIALLO UOVO""VALLEBELBO";0.190;2.640
200;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 09:48;T;"INSALATA RUSSA CON TONNO ""GIALLO UOVO""VALLEBELBO";0.184;2.560
208;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 10:02;T;PROSC.COTTO A.QUALITA' RICCAFETTA RASPINI CINQUE STELLE;0.158;2.830
208;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 10:02;T;FESA DI TACCHINO ARROSTO;0.122;1.820
210;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 10:08;T;"PROSC.COTTO A.QUALITA' ""BONTA' DELLA TRADIZIONE"" LENTI";0.172;2.390
210;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 10:08;T;ROAST BEEF A FETTE;0.188;5.430
212;PRESTOFRESCO s.p.a. Via Montalcini 1 , Rivoli (TO);02/10/2024 10:10;T;"MORTADELLA BOLOGNA IGP CON PISTACCHIO ""PALMIERI """;0.156;1.860
